Absorption,Concentration
0.21379214,0.149374421
0.20870505,0.145820122
0.21838893,0.152586152
0.2073482,0.144872105
0.21071625,0.147225328
0.21316969,0.148939521
0.22090029,0.154340814
0.21549808,0.150566344
0.20990608,0.14665927
0.21700152,0.151616783
0.21214804,0.148225705
0.21137649,0.147686631
0.21748521,0.151954732
0.21455876,0.149910051
0.21251132,0.148479525
0.20870049,0.145816936
0.21067044,0.147193321
0.20765289,0.145084989
0.21191367,0.148061953
0.21459111,0.149932653
0.21002042,0.146739158
0.21862215,0.1527491
0.21184477,0.148013813
0.21409678,0.14958727
0.214568,0.149916507
0.21522949,0.150378683
0.21472981,0.150029562
0.21543787,0.150524276
0.21813719,0.152410264
0.21600329,0.150919329
0.22046901,0.154039483
0.21665304,0.151373303
0.21357995,0.149226166
0.21514155,0.15031724
0.20830393,0.145539864
0.2147668,0.150055406
0.21236413,0.148376685
0.21926649,0.153199294
0.21774123,0.15213361
0.21007531,0.146777509
0.2161146,0.1509971
0.21504899,0.150252569
0.20662143,0.144364318
0.21525727,0.150398093
0.21397675,0.149503406
0.20934397,0.146266529
0.22222024,0.15526305
0.21500272,0.150220241
0.21403676,0.149545334
0.21322038,0.148974938
0.20793049,0.145278945
0.21147286,0.147753963
0.21918239,0.153140534
0.21399059,0.149513076
0.21500734,0.150223469
0.21264936,0.148575972
0.21373678,0.149335741
0.21512766,0.150307535
0.21314665,0.148923424
0.21357073,0.149219724
0.21661124,0.151344098
0.21111044,0.147500744
0.20997468,0.1467072
0.21041398,0.147014134
0.2115463,0.147805275
0.21675988,0.151447951
0.21600329,0.150919329
0.21027207,0.146914983
0.20929374,0.146231434
0.2154286,0.150517799
0.21116547,0.147539193
0.21189989,0.148052325
0.21489631,0.150145893
0.21230435,0.148334917
0.20693924,0.144586369
0.21782039,0.152188919
0.2100067,0.146729572
0.21462347,0.149955263
0.22046901,0.154039483
0.20970492,0.146518721
0.21906094,0.153055679
0.21241932,0.148415245
0.21599865,0.150916087
0.2154425,0.150527511
0.20983749,0.146611347
0.20900614,0.146030491
0.20635827,0.144180451
0.20939421,0.146301631
0.21043687,0.147030128
0.21542397,0.150514564
0.2191964,0.153150323
0.21074374,0.147244534
0.21242852,0.148421673
0.21004787,0.146758337
0.21089038,0.14734699
0.21218941,0.14825461
0.21269538,0.148608126
0.21099581,0.147420653
0.21609141,0.150980898
0.21531746,0.150440147
0.21067044,0.147193321
0.21747591,0.151948234
0.20335242,0.142080293
0.21107376,0.147475116
0.21150958,0.147779619
0.20731637,0.144849866
0.21514155,0.15031724
0.21133519,0.147657775
0.21862681,0.152752356
0.21246532,0.148447385
0.21442011,0.149813177
0.21498883,0.150210536
0.21365374,0.149277722
0.22037999,0.153977286
0.21426303,0.149703427
0.21278744,0.148672447
0.21017139,0.146844639
0.21638374,0.151185146
0.21313744,0.148916989
0.21254813,0.148505244
0.21033158,0.146956562
0.21052387,0.147090914
0.22042684,0.154010019
0.21348772,0.149161726
0.21173454,0.147936797
0.20844063,0.145635375
0.20954954,0.146410159
0.21201935,0.14813579
0.21392597,0.149467927
0.21490556,0.150152356
0.21115171,0.147529579
0.21305913,0.148862274
0.21066586,0.147190121
0.21380599,0.149384098
0.20588681,0.143851046
