Absorption,
0.21264936,0.17856314
0.21117464,0.17559699
0.21503048,0.17838857
0.21865014,0.17519122
0.21609141,0.18466155
0.21312362,0.17387801
0.20901983,0.18161363
0.21210207,0.17882911
0.2172433,0.1761965
0.21893486,0.17043695
0.21523875,0.18454485
0.21640695,0.18392167
0.21066586,0.17374455
0.2171131,0.17662296
0.21766674,0.18108244
0.2135984,0.17832114
0.21641623,0.17437294
0.21139484,0.17229486
0.22511371,0.17605838
0.21104166,0.18654104
0.22254498,0.18264993
0.21219401,0.18159764
0.21253893,0.17882117
0.21804399,0.1755694
0.21148663,0.16867228
0.21842623,0.18287833
0.21458187,0.17997422
0.21676917,0.18170156
0.21246072,0.17686402
0.21692251,0.18264192
0.21563244,0.1754039
0.21513692,0.18483464
0.21938799,0.17940924
0.21015309,0.17733863
0.2215997,0.17829337
0.21757364,0.17087729
0.21160597,0.18034862
0.21868281,0.17728323
0.21388905,0.17531724
0.21789491,0.17398402
0.21539155,0.1798946
0.21114254,0.17724367
